is_context,item_id,context_id
FALSE,2985,0
FALSE,3090,0
FALSE,3120,0
FALSE,3336,0
FALSE,3602,0
FALSE,531,0
FALSE,1410,0
FALSE,1883,0
FALSE,3856,0
FALSE,3914,0
FALSE,5144,0
FALSE,5164,0
FALSE,72,1
FALSE,97,1
FALSE,115,1
FALSE,131,1
FALSE,198,1
FALSE,291,1
FALSE,436,1
FALSE,3577,1
FALSE,4016,2
FALSE,4071,2
FALSE,2410,2
FALSE,2410,2
FALSE,2898,2
FALSE,877,2
FALSE,1183,2
FALSE,600,3
FALSE,20,3
FALSE,481,3
FALSE,32,3
FALSE,3167,3
FALSE,290,3
FALSE,363,3
FALSE,353,3
FALSE,884,3
FALSE,3007,4
FALSE,3407,4
FALSE,764,4
FALSE,779,4
FALSE,2104,4
FALSE,2113,4
FALSE,2257,4
FALSE,3917,4
FALSE,3994,4
FALSE,1918,4
FALSE,3030,4
FALSE,3955,4
FALSE,2033,4
