1,RICH CRINCLE - Long sleeved top - grey,29.00,grey,edc by Esprit,Women,Tops,http://i2.ztat.net/large/ED/12/1D/07/HC/11/ED121D07H-C11@5.jpg
2,FLUID - Summer dress - green,75.00,green,ESPRIT Collection,Women,Dresses,http://i2.ztat.net/large/ES/42/1C/06/OM/11/ES421C06O-M11@7.jpg
4,EASY WEAR MICRO HIPSTER MINI BRIEF 2er Pack - Briefs - white,16.00,white,Esprit,Women,Underwear,http://i1.ztat.net/large/ES/15/1K/00/H0/02/ES151K00H-002@7.1.jpg
5,Print T-shirt - white,15.00,white,Esprit,Women,Tops,http://i2.ztat.net/large/ES/12/1D/07/KA/11/ES121D07K-A11@5.jpg
7,EASY - Long sleeved top - red,15.00,red,edc by Esprit,Women,Tops,http://i2.ztat.net/large/ED/12/1D/08/1G/11/ED121D081-G11@5.jpg
8,Cardigan - green,29.00,green,ESPRIT Collection,Women,Cardigans,http://i2.ztat.net/large/ES/42/1I/03/IM/11/ES421I03I-M11@4.1.jpg
9,Cocktail dress / Party dress - black,75.00,black,ESPRIT Collection,Women,Dresses,http://i1.ztat.net/large/ES/42/1C/06/NQ/11/ES421C06N-Q11@5.1.jpg
10,Basic T-shirt - beige,19.00,beige,ESPRIT Collection,Women,Tops,http://i1.ztat.net/large/ES/42/1D/02/U7/04/ES421D02U-704@1.1.jpg
11,Chinos - blue,45.00,blue,Esprit,Women,Trousers,http://i1.ztat.net/large/ES/12/1A/03/T5/02/ES121A03T-502@1.1.jpg
12,EASY WEAR MICRO HIPSTER MINI BRIEF - Briefs - black,16.00,black,Esprit,Women,Underwear,http://i2.ztat.net/large/ES/15/1K/00/H8/02/ES151K00H-802@6.3.jpg
15,Shift dress - beige,70.00,beige,ESPRIT Collection,Women,Dresses,http://i1.ztat.net/large/ES/42/1C/06/MB/00/ES421C06M-B00@7.1.jpg
18,Jumper - grey,25.00,grey,Esprit,Women,Cardigans,http://i1.ztat.net/large/ES/12/1I/03/L1/12/ES121I03L-112@1.1.jpg
19,Cardigan - black,29.00,black,Esprit,Women,Cardigans,http://i1.ztat.net/large/ES/12/1I/03/K8/02/ES121I03K-802@1.1.jpg
22,Basic T-shirt - black,19.00,black,ESPRIT Collection,Women,Tops,http://i1.ztat.net/large/ES/42/1D/02/U8/02/ES421D02U-802@1.1.jpg
