id,name,price,brand,color,contenttype,style,image_url
003c253a-7141-4d74-b3b9-0fa6cc0ed30a,漫趣_围栏床,0.0,漫趣,Brown,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/003c253a-7141-4d74-b3b9-0fa6cc0ed30a/iso.jpg
018d391c-3de9-4baf-9a43-7dc16ec09e53,玛丽莲床,143377,bretz,Brown,bed/king-size bed,简约现代,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/018d391c-3de9-4baf-9a43-7dc16ec09e53/iso.jpg
031092f6-e4a0-49a9-8c0a-0ba56e13d9cc,实木大床A9001-180,0.0,雀之林,Brown,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/031092f6-e4a0-49a9-8c0a-0ba56e13d9cc/iso.jpg
0523165c-efc5-4d14-ad05-aaafa1458759,亚美特_BM1205+70 2床,6163,亚美特,Brown,bed/king-size bed,简欧,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/0523165c-efc5-4d14-ad05-aaafa1458759/iso.jpg
0fa1940c-c7df-427f-9832-bb1fb4b4a525,透雕大床 YC009,12250,瑞尔,Brown,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/0fa1940c-c7df-427f-9832-bb1fb4b4a525/iso.jpg
0f4faf1a-8fee-49fa-8eb0-87ae8a3d048e,双人床C-08,16112,时代腾迪,Brown,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/0f4faf1a-8fee-49fa-8eb0-87ae8a3d048e/iso.jpg
188c0345-db7c-4091-b975-054c5edf3087,中式双人床,23938,世代相传,Brown,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/188c0345-db7c-4091-b975-054c5edf3087/iso.jpg
1aa2ead7-a204-4468-ba2d-e14e79df4229,实木小床A7021,0.0,雀之林,Brown,bed/king-size bed,简约现代,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/1aa2ead7-a204-4468-ba2d-e14e79df4229/iso.jpg
23d1fb9d-aaf7-44d6-b77e-1bd6e0590ffc,床600-B,29800,路易法家,Brown,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/23d1fb9d-aaf7-44d6-b77e-1bd6e0590ffc/iso.jpg
30f9cd5e-3ffc-496f-9c2a-ed17127c75f4,71-B床1.8米,11760,艺家百年,Brown,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/30f9cd5e-3ffc-496f-9c2a-ed17127c75f4/iso.jpg
37e762c0-1889-43ac-ac9a-1b56ea1d35ac,床MJ01-03,0.0,法诗兰,Brown,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/37e762c0-1889-43ac-ac9a-1b56ea1d35ac/iso.jpg
395c20d1-18f1-4a7a-89c5-6cbb35ce7bd4,床OF28T8+OFCS28,3604,欧瑞家具,Brown,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/395c20d1-18f1-4a7a-89c5-6cbb35ce7bd4/iso.jpg
41b02855-982a-46fd-b825-911c1b271cfb,床,0.0,爱丽舍宫,Brown,bed/king-size bed,北欧,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/41b02855-982a-46fd-b825-911c1b271cfb/iso.jpg
41f78128-7e23-4043-ab66-8aae413b4cca,D3201-1,44118,罗曼迪卡,Brown,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/41f78128-7e23-4043-ab66-8aae413b4cca/iso.jpg
44b2117c-4341-47b9-8502-a07124a15f6f,床 M6A009,8592,皇朝板式,Brown,bed/king-size bed,现代中式,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/44b2117c-4341-47b9-8502-a07124a15f6f/iso.jpg
4598c0db-bfc8-4964-a95c-f939575c4e45,HL0113_18床,0.0,皇朝家私,Brown,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/4598c0db-bfc8-4964-a95c-f939575c4e45/iso.jpg
4d3fd08b-cade-40f6-8255-056f872b7311,圣雷斯,0.0,爱依瑞斯,Orange,bed/king-size bed,简约现代,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/4d3fd08b-cade-40f6-8255-056f872b7311/iso.jpg
4e3c894a-d717-4750-ab00-b3980fc61dbe,FH0111_18L_博古鸳鸯低箱床,0.0,皇朝家私,Orange,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/4e3c894a-d717-4750-ab00-b3980fc61dbe/iso.jpg
54051092-0194-4c3e-8a18-54d906554d6c,强力_床头C41-1870,824,强力,Orange,bed/king-size bed,简约现代,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/54051092-0194-4c3e-8a18-54d906554d6c/iso.jpg
5ca35522-b1ba-4cda-a918-eea81ae404ea,非同_雅典娜双人床,17560,非同,Orange,bed/king-size bed,简约现代,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/5ca35522-b1ba-4cda-a918-eea81ae404ea/iso.jpg
632f4ef3-07d2-4d9a-bb61-516444ab1897,汉堡软床,0.0,Lattoflex,Orange,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/632f4ef3-07d2-4d9a-bb61-516444ab1897/iso.jpg
6aa584f9-34c9-4c73-ac68-282aca46b49a,床 HE-A09B,0.0,华师傅,Orange,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/6aa584f9-34c9-4c73-ac68-282aca46b49a/iso.jpg
6cf576a1-59d5-4f61-bfad-ad025028a537,床箱C1-33D1820_3,5502,飞美,Orange,bed/king-size bed,简约现代,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/6cf576a1-59d5-4f61-bfad-ad025028a537/iso.jpg
72921135-eb75-4b12-9cc9-68097c2c39e3,床HB108,0.0,华意空间,Orange,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/72921135-eb75-4b12-9cc9-68097c2c39e3/iso.jpg
74c6523f-15b6-4d54-bffb-901b3f42c5bc,御玺 贵妇椅,0.0,御玺,Orange,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/74c6523f-15b6-4d54-bffb-901b3f42c5bc/iso.jpg
747ecb1b-16f2-47d9-a097-1e5f34f94d2d,御玺 贵妃床,0.0,御玺,Orange,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/747ecb1b-16f2-47d9-a097-1e5f34f94d2d/iso.jpg
7e49977d-0cdf-4082-bae0-2c7f6ff70dc3,床 HE-A06,6996,华师傅,Orange,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/7e49977d-0cdf-4082-bae0-2c7f6ff70dc3/iso.jpg
